Job Advertisement,Experience_Level
"We are seeking best-in-class Junior Software Engineer interested in innovative front-end or full-stack web development who will join us at Oracle NetSuite in Barcelona and who is finishing university this academic year, 2025, without any full-time work experience.

You will use your knowledge and creativity to craft and build innovative new systems from requirement definition through design, implementation, testing to deployment and bugfixing.

Successful candidates will be passionate about clean code, quality, and SOLID principles. You will work on groundbreaking technologies in a collaborative, agile environment.

Qualifications:
- Finishing university in 2025
- No full-time work experience
- Strong problem-solving skills
- Understanding of object-oriented programming and web development",Graduate
"Wallapop is looking for an experienced Front-end Engineer to contribute to the development of large-scale web applications. The role involves taking ownership of the full development lifecycle, collaborating with design and back-end teams, and optimizing applications for performance and scalability.

Requirements include strong experience with JavaScript, React or Angular, experience with testing frameworks (e.g., Jest), and the ability to work in agile, cross-functional teams. Additional experience with SEO, AWS, and web analytics is a plus.",Senior
"Electronic Arts is hiring a Localization Tester for its EA Madrid office. The role involves checking the linguistic quality of localized games and ensuring they meet EA procedures before release. Candidates must be fluent in English and Spanish, show attention to detail, and demonstrate an interest in the video game industry.

This is an entry-level position, requiring applicants to be at least 18 years old. No prior professional experience is required. EA offers relocation support, and the role includes training and potential overtime compensation.",Graduate
"Flexera is hiring a Data Analyst to support and maintain the DIS database, focusing on application recognition, normalization, and categorization. The role involves quality control, supporting Graduateal tools, testing new features, and collaborating with analysts on customer projects and proof of concepts.

Candidates should have a bachelor's degree or equivalent experience and familiarity with cloud solutions, applications, and tools like SQL and Python. A detail-oriented and collaborative mindset is important. The role includes problem-solving, quality control, and providing last-line ticket support.",Junior
"Civitatis is hiring a Front-End Developer (React) to join their IT team in Madrid. Responsibilities include supporting Graduateal and external tool development, maintaining the main website, and participating in projects related to microfrontend architecture.

The role requires at least three years of experience in frontend development, specifically with JavaScript/TypeScript and frameworks such as React or Angular. Experience with CSS pre-processors (SASS or LESS), testing frameworks (Jest, Jasmine), and test-driven development (TDD) is also required. Familiarity with Next.js, server-side rendering, PHP, and databases is a plus.",Mid
"A tech company is hiring a Technical Support Engineer to troubleshoot hardware and software tools, reproduce customer environments, and liaise with sales and service teams to resolve technical issues. The role includes managing support tickets, running tests, and occasionally visiting customer sites. 

Applicants should be degree-educated in an engineering discipline, have good communication and IT skills, and be motivated to learn. PLC/SCADA knowledge is beneficial. Full product training is provided, and the company values candidates with a positive attitude and willingness to develop.",Junior
"Deutsche Bank is hiring for an Operations role in its Global Reconciliation Group in Barcelona. The position involves day-to-day tasks related to Nostro and Depo account reconciliation, responding to client queries, supporting audits, and producing Graduateal reports and statistics.

Candidates should have a degree in Economics, strong English/Spanish communication skills, and Excel proficiency. Problem-solving and collaboration with Graduateational teams are key. The role includes training and support from experienced colleagues and participation in process optimization initiatives.",Junior
"Ealing Council is hiring a Data and Systems Officer to support adult social care performance analysis and reporting. Responsibilities include developing Power BI dashboards, preparing statutory returns (SALT, CLD, SACE), managing operational data reports, and providing first-level system administration for Graduateal databases.

Candidates should be familiar with performance reporting, benchmarking, and data quality processes. Experience with Power BI, Business Objects, and MS Office is desirable, as is familiarity with social care data tools like MOSAIC. Strong communication and analytical skills are essential, as is the ability to collaborate across departments.

This role welcomes applicants entering the employment market or progressing early in their careers. Full training and support are provided.",Mid
"UCB is hiring a Senior Principal Statistical Methodologist to join the Biometrics & Data Sciences team in Belgium, Germany, or the UK. The role involves serving as a senior statistical consultant across therapeutic areas, leading the development and implementation of innovative methodologies, particularly Bayesian models, and supervising advanced study designs and simulations.

Applicants must hold a PhD in Statistics, Computer Science, or Mathematics and have several years of experience in pharmaceutical biostatistics. Experience includes publication, statistical computing, cross-functional collaboration, and independent research. The position includes mentoring responsibilities and driving statistical innovation across projects.",Lead
"Waters Corporation is hiring a Principal Service Support and Development Engineer for their Clinical LC-MS diagnostics products in Wilmslow, UK. The role involves leading technical support for field service teams, delivering global training, resolving hardware/software issues, and driving new service policy implementations. It also includes cross-department collaboration, project leadership, and on-site support as needed.

Candidates should have a technical degree and extensive experience with clinical applications or LC-MS instruments. Strong communication, organizational, mentoring, and technical problem-solving skills are essential. Experience with SAP, customer service, and service planning are highly valued.",Lead
